0,182,30,365,730,91,Date,Name
49.982655,,,,,,19/08/2004,GOOG
53.95277,,,,,,20/08/2004,GOOG
54.495735,,,,,,23/08/2004,GOOG
52.239193,,,,,,24/08/2004,GOOG
52.802086,,,,,,25/08/2004,GOOG
53.753517,,,,,,26/08/2004,GOOG
52.876804,,,,,,27/08/2004,GOOG
50.814533,,,,,,30/08/2004,GOOG
50.993862,,,,,,31/08/2004,GOOG
49.93782,,,,,,01/09/2004,GOOG
50.565468,,,,,,02/09/2004,GOOG
49.818268,,,,,,03/09/2004,GOOG
50.600338,,,,,,07/09/2004,GOOG
50.958992,,,,,,08/09/2004,GOOG
50.963974,,,,,,09/09/2004,GOOG
52.468334,,,,,,10/09/2004,GOOG
53.549286,,,,,,13/09/2004,GOOG
55.536835,,,,,,14/09/2004,GOOG
55.790882,,,,,,15/09/2004,GOOG
56.772205,,,,,,16/09/2004,GOOG
58.525631,,,,,,17/09/2004,GOOG
59.457142,,,,,,20/09/2004,GOOG
58.699978,,,,,,21/09/2004,GOOG
58.968971,,,,,,22/09/2004,GOOG
60.184414,,,,,,23/09/2004,GOOG
59.691261,,,,,,24/09/2004,GOOG
58.909195,,,,,,27/09/2004,GOOG
63.193138,,,,,,28/09/2004,GOOG
65.295258,,,,,,29/09/2004,GOOG
64.558022,,,,,,30/09/2004,GOOG
66.042458,,,,,,01/10/2004,GOOG
67.277824,,,,,,04/10/2004,GOOG
68.926643,,,,,,05/10/2004,GOOG
68.284058,,,,,,06/10/2004,GOOG
69.165749,,,,,,07/10/2004,GOOG
68.607841,,,,,,08/10/2004,GOOG
67.377449,,,,,,11/10/2004,GOOG
68.443459,,,,,,12/10/2004,GOOG
70.18692,,,,,,13/10/2004,GOOG
70.734871,,,,,,14/10/2004,GOOG
71.785927,,,,,,15/10/2004,GOOG
74.301498,,,,,,18/10/2004,GOOG
73.693779,,,,,,19/10/2004,GOOG
69.982689,,,,,,20/10/2004,GOOG
74.411087,,,,,,21/10/2004,GOOG
85.893051,,,,,,22/10/2004,GOOG
93.350098,,,,,,25/10/2004,GOOG
90.560555,,,,,,26/10/2004,GOOG
92.637772,,,,,,27/10/2004,GOOG
96.289085,,,,,,28/10/2004,GOOG
94.96405,,,,,,29/10/2004,GOOG
97.648987,,,,,,01/11/2004,GOOG
97.071152,,,,,,02/11/2004,GOOG
95.477127,,,,,,03/11/2004,GOOG
92.005142,,,,,,04/11/2004,GOOG
84.358803,,,,,,05/11/2004,GOOG
85.952827,,,,,,08/11/2004,GOOG
84.035019,,,,,,09/11/2004,GOOG
83.616585,,,,,,10/11/2004,GOOG
91.168282,,,,,,11/11/2004,GOOG
90.660187,,,,,,12/11/2004,GOOG
92.089828,,,,,,15/11/2004,GOOG
85.947845,,,,,,16/11/2004,GOOG
85.927917,,,,,,17/11/2004,GOOG
83.457184,,,,,,18/11/2004,GOOG
84.383713,,,,,,19/11/2004,GOOG
82.241737,,,,,,22/11/2004,GOOG
83.44722,,,,,,23/11/2004,GOOG
87.053703,,,,,,24/11/2004,GOOG
89.360054,,,,,,26/11/2004,GOOG
90.186958,,,,,,29/11/2004,GOOG
90.650223,,,,,,30/11/2004,GOOG
89.64399,,,,,,01/12/2004,GOOG
89.365036,,,,,,02/12/2004,GOOG
89.863174,,,,,,03/12/2004,GOOG
87.815842,,,,,,06/12/2004,GOOG
85.39492,,,,,,07/12/2004,GOOG
84.672623,,,,,,08/12/2004,GOOG
86.391182,,,,,,09/12/2004,GOOG
85.504509,,,,,,10/12/2004,GOOG
84.906746,,,,,,13/12/2004,GOOG
89.01136,,,,,,14/12/2004,GOOG
89.554329,,,,,,15/12/2004,GOOG
87.90551,,,,,,16/12/2004,GOOG
89.703766,,,,,,17/12/2004,GOOG
92.164543,,,,,,20/12/2004,GOOG
91.531914,,,,,,21/12/2004,GOOG
92.802155,,,,,,22/12/2004,GOOG
93.599167,,,,,,23/12/2004,GOOG
95.59668,,,,,,27/12/2004,GOOG
96.020096,,,,,,28/12/2004,GOOG
96.089828,,,,,,29/12/2004,GOOG
98.431053,,,,,,30/12/2004,GOOG
96.035034,,,,,,31/12/2004,GOOG
100.976517,,,,,,03/01/2005,GOOG
96.886841,,,,,,04/01/2005,GOOG
96.393692,,,,,,05/01/2005,GOOG
93.922951,,,,,,06/01/2005,GOOG
96.563057,,,,,,07/01/2005,GOOG
97.165802,,,,,,10/01/2005,GOOG
96.408638,,,,,,11/01/2005,GOOG
97.325203,,,,,,12/01/2005,GOOG
97.300293,,,,,,13/01/2005,GOOG
99.611633,,,,,,14/01/2005,GOOG
101.56929,,,,,,18/01/2005,GOOG
98.281616,,,,,,19/01/2005,GOOG
96.597931,,,,,,20/01/2005,GOOG
93.78846,,,,,,21/01/2005,GOOG
90.022575,,,,,,24/01/2005,GOOG
88.229294,,,,,,25/01/2005,GOOG
94.266663,,,,,,26/01/2005,GOOG
93.688828,,,,,,27/01/2005,GOOG
94.814613,,,,,,28/01/2005,GOOG
97.444756,,,,,,31/01/2005,GOOG
95.591698,,,,,,01/02/2005,GOOG
102.595444,,,,,,02/02/2005,GOOG
105.036301,,,,,,03/02/2005,GOOG
101.798431,,,,,,04/02/2005,GOOG
97.648987,,,,,,07/02/2005,GOOG
98.949112,,,,,,08/02/2005,GOOG
95.432297,,,,,,09/02/2005,GOOG
93.639015,,,,,,10/02/2005,GOOG
93.350098,,,,,,11/02/2005,GOOG
96.134666,,,,,,14/02/2005,GOOG
97.250481,,,,,,15/02/2005,GOOG
98.834541,,,,,,16/02/2005,GOOG
98.580498,,,,,,17/02/2005,GOOG
98.6054,,,,,,18/02/2005,GOOG
95.32769,,,,,,22/02/2005,GOOG
96.612869,,,,,,23/02/2005,GOOG
94.092316,,,,,,24/02/2005,GOOG
92.587959,,,,,,25/02/2005,GOOG
93.643997,,,,,,28/02/2005,GOOG
92.682602,,,,,,01/03/2005,GOOG
92.244247,,,,,,02/03/2005,GOOG
93.15583,,,,,,03/03/2005,GOOG
92.602905,,,,,,04/03/2005,GOOG
94.052467,,,,,,07/03/2005,GOOG
92.254211,,,,,,08/03/2005,GOOG
90.336395,,,,,,09/03/2005,GOOG
89.653954,,,,,,10/03/2005,GOOG
88.568024,,,,,,11/03/2005,GOOG
87.168274,,,,,,14/03/2005,GOOG
88.971512,,,,,,15/03/2005,GOOG
87.47213,,,,,,16/03/2005,GOOG
89.310242,,,,,,17/03/2005,GOOG
89.683846,,,,,,18/03/2005,GOOG
90.102272,,,,,,21/03/2005,GOOG
88.96653,,,,,,22/03/2005,GOOG
89.155823,,,,,,23/03/2005,GOOG
89.290321,,,,,,24/03/2005,GOOG
90.371269,,,,,,28/03/2005,GOOG
89.449722,,,,,,29/03/2005,GOOG
89.888077,,,,,,30/03/2005,GOOG
89.917969,,,,,,31/03/2005,GOOG
89.683846,,,,,,01/04/2005,GOOG
92.299042,,,,,,04/04/2005,GOOG
93.932915,,,,,,05/04/2005,GOOG
94.256706,,,,,,06/04/2005,GOOG
96.518227,,,,,,07/04/2005,GOOG
95.66642,,,,,,08/04/2005,GOOG
96.254219,,,,,,11/04/2005,GOOG
96.617851,,,,,,12/04/2005,GOOG
96.104774,,,,,,13/04/2005,GOOG
95.367538,,,,,,14/04/2005,GOOG
92.154579,,,,,,15/04/2005,GOOG
93.135902,,,,,,18/04/2005,GOOG
95.342636,,,,,,19/04/2005,GOOG
98.680122,,,,,,20/04/2005,GOOG
101.728699,,,,,,21/04/2005,GOOG
107.502052,,,,,,22/04/2005,GOOG
111.347641,,,,,,25/04/2005,GOOG
108.966568,,,,,,26/04/2005,GOOG
109.479645,,,,,,27/04/2005,GOOG
109.315262,,,,,,28/04/2005,GOOG
109.589233,,,,,,29/04/2005,GOOG
110.729958,,,,,,02/05/2005,GOOG
112.672676,,,,,,03/05/2005,GOOG
113.823364,,,,,,04/05/2005,GOOG
113.0662,,,,,,05/05/2005,GOOG
113.584259,,,,,,06/05/2005,GOOG
112.58799,,,,,,09/05/2005,GOOG
113.47467,,,,,,10/05/2005,GOOG
115.21315,,,,,,11/05/2005,GOOG
113.932953,,,,,,12/05/2005,GOOG
114.191978,,,,,,13/05/2005,GOOG
115.093597,,,,,,16/05/2005,GOOG
116.129715,,,,,,17/05/2005,GOOG
119.133461,,,,,,18/05/2005,GOOG
119.143425,,,,,,19/05/2005,GOOG
120.353882,,,,,,20/05/2005,GOOG
127.248047,,,,,,23/05/2005,GOOG
127.522018,,,,,,24/05/2005,GOOG
129.91803,,,,,,25/05/2005,GOOG
129.116043,,,,,,26/05/2005,GOOG
132.503342,,,,,,27/05/2005,GOOG
138.11731,,,,,,31/05/2005,GOOG
143.462265,,,,,,01/06/2005,GOOG
143.41246,,,,,,02/06/2005,GOOG
139.60672,,,,,,03/06/2005,GOOG
144.926773,,,,,,06/06/2005,GOOG
146.012711,,,,,,07/06/2005,GOOG
139.258026,,,,,,08/06/2005,GOOG
142.620422,,,,,,09/06/2005,GOOG
140.722534,,,,,,10/06/2005,GOOG
140.847076,,,,,,13/06/2005,GOOG
138.655289,,,,,,14/06/2005,GOOG
136.886917,,,,,,15/06/2005,GOOG
138.201981,,,,,,16/06/2005,GOOG
139.626648,,,,,,17/06/2005,GOOG
142.814697,,,,,,20/06/2005,GOOG
143.382568,,,,,,21/06/2005,GOOG
144.109848,,,,,,22/06/2005,GOOG
144.314072,,,,,,23/06/2005,GOOG
148.069992,,,,,,24/06/2005,GOOG
151.482208,,,,,,27/06/2005,GOOG
150.436127,,,,,,28/06/2005,GOOG
145.813461,,,,,,29/06/2005,GOOG
146.525787,,,,,,30/06/2005,GOOG
145.081207,,,,,,01/07/2005,GOOG
147.302872,,,,,,05/07/2005,GOOG
145.215698,,,,,,06/07/2005,GOOG
147.218185,,,,,,07/07/2005,GOOG
147.561905,,,,,,08/07/2005,GOOG
146.127274,,,,,,11/07/2005,GOOG
145.345215,,,,,,12/07/2005,GOOG
148.871994,,,,,,13/07/2005,GOOG
149.883194,,,,,,14/07/2005,GOOG
150.032639,,,,,,15/07/2005,GOOG
149.210724,,,,,,18/07/2005,GOOG
154.371384,,,,,,19/07/2005,GOOG
155.41745,,,,,,20/07/2005,GOOG
156.383835,,,,,,21/07/2005,GOOG
150.635376,,,,,,22/07/2005,GOOG
147.372604,,,,,,25/07/2005,GOOG
147.492157,,,,,,26/07/2005,GOOG
147.910599,,,,,,27/07/2005,GOOG
146.201996,,,,,,28/07/2005,GOOG
143.342712,,,,,,29/07/2005,GOOG
145.260529,,,,,,01/08/2005,GOOG
149.036377,,,,,,02/08/2005,GOOG
148.09491,,,,,,03/08/2005,GOOG
